ISD91230, n:133,time:21807, packet type:2, length:19, seq:1, unkbit:1, unk:0, crc:CBF8, calccrc:CBF8, valid:1, Raw:0x5AA5130201FF8000000000000000000000F8CB
ISD91230, n:134,time:21808, packet type:3, length:23, seq:0, unkbit:1, unk:32, crc:1A50, calccrc:1A50, valid:1, Raw:0x5AA5170300FFA00301000000000000000000000000501A
ESP32, n:4,time:21829, packet type:2, length:19, seq:2, unkbit:0, unk:1, crc:881C, calccrc:881C, valid:1, Raw:0x5AA5130202FF01020000000002006400001C88
ESP32, n:5,time:21829, packet type:12, length:17, seq:1, unkbit:0, unk:0, crc:5BB9, calccrc:5BB9, valid:1, Raw:0x5AA5110C01FF000AC80F0A0A0A0500B95B
ESP32, n:6,time:21830, packet type:12, length:17, seq:2, unkbit:0, unk:1, crc:60F5, calccrc:60F5, valid:1, Raw:0x5AA5110C02FF01C800C800C800C800F560
ISD91230, n:135,time:21830, packet type:2, length:19, seq:2, unkbit:1, unk:1, crc:DC14, calccrc:DC14, valid:1, Raw:0x5AA5130202FF810000000000000000000014DC
ISD91230, n:136,time:21831, packet type:3, length:23, seq:0, unkbit:1, unk:33, crc:B4AC, calccrc:B4AC, valid:1, Raw:0x5AA5170300FFA10301000000000000000000000000ACB4
ESP32, n:7,time:21871, packet type:12, length:16, seq:3, unkbit:0, unk:2, crc:DE04, calccrc:DE04, valid:1, Raw:0x5AA5100C03FF02FC011F004C700104DE
ESP32, n:8,time:21872, packet type:13, length:16, seq:1, unkbit:0, unk:0, crc:3473, calccrc:3473, valid:1, Raw:0x5AA5100D01FF0002FF0A001E00067334
ESP32, n:9,time:21912, packet type:13, length:16, seq:2, unkbit:0, unk:1, crc:C26F, calccrc:C26F, valid:1, Raw:0x5AA5100D02FF0102FF0A001E00066FC2
ESP32, n:10,time:21913, packet type:4, length:20, seq:1, unkbit:0, unk:0, crc:1FBF, calccrc:1FBF, valid:1, Raw:0x5AA5140401FF00000000DC05C8001E001400BF1F
ISD91230, n:137,time:21933, packet type:4, length:20, seq:1, unkbit:1, unk:0, crc:568C, calccrc:568C, valid:1, Raw:0x5AA5140401FF80000000B0041400140014008C56
ESP32, n:11,time:21954, packet type:4, length:20, seq:2, unkbit:0, unk:1, crc:84E2, calccrc:84E2, valid:1, Raw:0x5AA5140402FF010000001405C8001E001400E284
ESP32, n:12,time:21954, packet type:0, length:10, seq:1, unkbit:0, unk:0, crc:E85B, calccrc:E85B, valid:1, Raw:0x5AA50A0001FF00005BE8
ISD91230, n:138,time:21955, packet type:4, length:20, seq:2, unkbit:1, unk:1, crc:2E43, calccrc:2E43, valid:1, Raw:0x5AA5140402FF810000001405C8001E001400432E
ISD91230, n:139,time:21975, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:9556, calccrc:9556, valid:1, Raw:0x5AA50A0000FF80015695
ESP32, n:13,time:21996, packet type:1, length:12, seq:1, unkbit:0, unk:0, crc:C36F, calccrc:C36F, valid:1, Raw:0x5AA50C0101FF000A0A0A6FC3
ESP32, n:14,time:21996, packet type:7, length:14, seq:1, unkbit:0, unk:0, crc:17BF, calccrc:17BF, valid:1, Raw:0x5AA50E0701FF00050A000A00BF17
ESP32, n:15,time:21996, packet type:1, length:9, seq:2, unkbit:1, unk:0, crc:68E1, calccrc:68E1, valid:1, Raw:0x5AA5090102FF80E168
